Pokedex Number;Pokemon Name;Classification;Alternate Form Name;Legendary Type;Pokemon Height;Pokemon Weight;Primary Type;Secondary Type;Primary Ability;Secondary Ability;Attack Stat;Defense Stat;Special Attack Stat;Special Defense Stat;Speed Stat;Base Stat Total
342;Crawdaunt;Rogue Pokémon;NULL;NULL;11;328;Water;Dark;Hyper Cutter;Shell Armor;120;85;90;55;55;468
343;Baltoy;Clay Doll Pokémon;NULL;NULL;5;215;Ground;Psychic;Levitate;NULL;40;55;40;70;55;300
344;Claydol;Clay Doll Pokémon;NULL;NULL;15;1079;Ground;Psychic;Levitate;NULL;70;105;70;120;75;500
345;Lileep;Sea Lily Pokémon;NULL;NULL;10;238;Rock;Grass;Suction Cups;NULL;41;77;61;87;23;355
346;Cradily;Barnacle Pokémon;NULL;NULL;15;604;Rock;Grass;Suction Cups;NULL;81;97;81;107;43;495
347;Anorith;Old Shrimp Pokémon;NULL;NULL;7;125;Rock;Bug;Battle Armor;NULL;95;50;40;50;75;355
348;Armaldo;Plate Pokémon;NULL;NULL;15;682;Rock;Bug;Battle Armor;NULL;125;100;70;80;45;495
349;Feebas;Fish Pokémon;NULL;NULL;6;74;Water;NULL;Swift Swim;Oblivious;15;20;10;55;80;200
350;Milotic;Tender Pokémon;NULL;NULL;62;1620;Water;NULL;Marvel Scale;Competitive;60;79;100;125;81;540
350;Milotic;Tender Pokémon;NULL;NULL;62;1620;Water;NULL;Marvel Scale;Competitive;60;79;100;125;81;540
351;Castform;Weather Pokémon;NULL;NULL;3;8;Normal;NULL;Forecast;NULL;70;70;70;70;70;420
351;Castform;Weather Pokémon;Sunny;NULL;3;8;Fire;NULL;Forecast;NULL;70;70;70;70;70;420
351;Castform;Weather Pokémon;Rainy;NULL;3;8;Water;NULL;Forecast;NULL;70;70;70;70;70;420
351;Castform;Weather Pokémon;Snowy;NULL;3;8;Ice;NULL;Forecast;NULL;70;70;70;70;70;420
352;Kecleon;Color Swap Pokémon;NULL;NULL;10;220;Normal;NULL;Color Change;NULL;90;70;60;120;40;440
353;Shuppet;Puppet Pokémon;NULL;NULL;6;23;Ghost;NULL;Insomnia;Frisk;75;35;63;33;45;295
354;Banette;Marionette Pokémon;NULL;NULL;11;125;Ghost;NULL;Insomnia;Frisk;115;65;83;63;65;455
354;Banette;Marionette Pokémon;Mega;NULL;12;130;Ghost;NULL;Prankster;NULL;165;75;93;83;75;555
355;Duskull;Requiem Pokémon;NULL;NULL;8;150;Ghost;NULL;Levitate;NULL;40;90;30;90;25;295
356;Dusclops;Beckon Pokémon;NULL;NULL;16;306;Ghost;NULL;Pressure;NULL;70;130;60;130;25;455
357;Tropius;Fruit Pokémon;NULL;NULL;20;1000;Grass;Flying;Chlorophyll;Solar Power;68;83;72;87;51;460
358;Chimecho;Wind Chime Pokémon;NULL;NULL;6;10;Psychic;NULL;Levitate;NULL;50;80;95;90;65;455
359;Absol;Disaster Pokémon;NULL;NULL;12;470;Dark;NULL;Pressure;Super Luck;130;60;75;60;75;465
359;Absol;Disaster Pokémon;Mega;NULL;12;490;Dark;NULL;Magic Bounce;NULL;150;60;115;60;115;565
360;Wynaut;Bright Pokémon;NULL;NULL;6;140;Psychic;NULL;Shadow Tag;NULL;23;48;23;48;23;260
361;Snorunt;Snow Hat Pokémon;NULL;NULL;7;168;Ice;NULL;Inner Focus;Ice Body;50;50;50;50;50;300
362;Glalie;Face Pokémon;NULL;NULL;15;2565;Ice;NULL;Inner Focus;Ice Body;80;80;80;80;80;480
362;Glalie;Face Pokémon;Mega;NULL;21;3502;Ice;NULL;Refrigerate;NULL;120;80;120;80;100;580
363;Spheal;Clap Pokémon;NULL;NULL;8;395;Ice;Water;Thick Fat;Ice Body;40;50;55;50;25;290
364;Sealeo;Ball Roll Pokémon;NULL;NULL;11;876;Ice;Water;Thick Fat;Ice Body;60;70;75;70;45;410
365;Walrein;Ice Break Pokémon;NULL;NULL;14;1506;Ice;Water;Thick Fat;Ice Body;80;90;95;90;65;530
366;Clamperl;Bivalve Pokémon;NULL;NULL;4;525;Water;NULL;Shell Armor;NULL;64;85;74;55;32;345
367;Huntail;Deep Sea Pokémon;NULL;NULL;17;270;Water;NULL;Swift Swim;NULL;104;105;94;75;52;485
368;Gorebyss;South Sea Pokémon;NULL;NULL;18;226;Water;NULL;Swift Swim;NULL;84;105;114;75;52;485
369;Relicanth;Longevity Pokémon;NULL;NULL;10;234;Water;Rock;Swift Swim;Rock Head;90;130;45;65;55;485
370;Luvdisc;Rendezvous Pokémon;NULL;NULL;6;87;Water;NULL;Swift Swim;NULL;30;55;40;65;97;330
371;Bagon;Rock Head Pokémon;NULL;NULL;6;421;Dragon;NULL;Rock Head;NULL;75;60;40;30;50;300
372;Shelgon;Endurance Pokémon;NULL;NULL;11;1105;Dragon;NULL;Rock Head;NULL;95;100;60;50;50;420
373;Salamence;Dragon Pokémon;NULL;NULL;15;1026;Dragon;Flying;Intimidate;NULL;135;80;110;80;100;600
373;Salamence;Dragon Pokémon;Mega;NULL;18;1126;Dragon;Flying;Aerilate;NULL;145;130;120;90;120;700
374;Beldum;Iron Ball Pokémon;NULL;NULL;6;952;Steel;Psychic;Clear Body;NULL;55;80;35;60;30;300
375;Metang;Iron Claw Pokémon;NULL;NULL;12;2025;Steel;Psychic;Clear Body;NULL;75;100;55;80;50;420
376;Metagross;Iron Leg Pokémon;NULL;NULL;16;5500;Steel;Psychic;Clear Body;NULL;135;130;95;90;70;600
376;Metagross;Iron Leg Pokémon;Mega;NULL;25;9429;Steel;Psychic;Tough Claws;NULL;145;150;105;110;110;700
377;Regirock;Rock Peak Pokémon;NULL;"""Sub-Legendary""";17;2300;Rock;NULL;Clear Body;NULL;100;200;50;100;50;580
378;Regice;Iceberg Pokémon;NULL;"""Sub-Legendary""";18;1750;Ice;NULL;Clear Body;NULL;50;100;100;200;50;580
379;Registeel;Iron Pokémon;NULL;"""Sub-Legendary""";19;2050;Steel;NULL;Clear Body;NULL;75;150;75;150;50;580
380;Latias;Eon Pokémon;NULL;"""Sub-Legendary""";14;400;Dragon;Psychic;Levitate;NULL;80;90;110;130;110;600
380;Latias;Eon Pokémon;Mega;NULL;18;520;Dragon;Psychic;Levitate;NULL;100;120;140;150;110;700
381;Latios;Eon Pokémon;Mega;NULL;23;700;Dragon;Psychic;Levitate;NULL;130;100;160;120;110;700
381;Latios;Eon Pokémon;NULL;"""Sub-Legendary""";20;600;Dragon;Psychic;Levitate;NULL;90;80;130;110;110;600
382;Kyogre;Sea Basin Pokémon;NULL;"""Legendary""";45;3520;Water;NULL;Drizzle;NULL;100;90;150;140;90;670
382;Kyogre;Sea Basin Pokémon;Primal;"""Legendary""";98;4300;Water;NULL;Primordial Sea;NULL;150;90;180;160;90;770
383;Groudon;Continent Pokémon;Primal;"""Legendary""";50;9997;Ground;Fire;Desolate Land;NULL;180;160;150;90;90;770
383;Groudon;Continent Pokémon;NULL;"""Legendary""";35;9500;Ground;NULL;Drought;NULL;150;140;100;90;90;670
384;Rayquaza;Sky High Pokémon;NULL;"""Legendary""";70;2065;Dragon;Flying;Air Lock;NULL;150;90;150;90;95;680
384;Rayquaza;Sky High Pokémon;Mega;"""Legendary""";108;3920;Dragon;Flying;Delta Stream;NULL;180;100;180;100;115;780
385;Jirachi;Wish Pokémon;NULL;"""Mythical""";3;11;Steel;Psychic;Serene Grace;NULL;100;100;100;100;100;600
386;Deoxys;DNA Pokémon;NULL;"""Mythical""";17;608;Psychic;NULL;Pressure;NULL;150;50;150;50;150;600
386;Deoxys;DNA Pokémon;Attack;"""Mythical""";17;608;Psychic;NULL;Pressure;NULL;180;20;180;20;150;600
386;Deoxys;DNA Pokémon;Defense;"""Mythical""";17;608;Psychic;NULL;Pressure;NULL;70;160;70;160;90;600
386;Deoxys;DNA Pokémon;Speed;"""Mythical""";17;608;Psychic;NULL;Pressure;NULL;95;90;95;90;180;600
387;Turtwig;Tiny Leaf Pokémon;NULL;NULL;4;102;Grass;NULL;Overgrow;NULL;68;64;45;55;31;318
388;Grotle;Grove Pokémon;NULL;NULL;11;970;Grass;NULL;Overgrow;NULL;89;85;55;65;36;405
389;Torterra;Continent Pokémon;NULL;NULL;22;3100;Grass;Ground;Overgrow;NULL;109;105;75;85;56;525
390;Chimchar;Chimp Pokémon;NULL;NULL;5;62;Fire;NULL;Blaze;NULL;58;44;58;44;61;309
391;Monferno;Playful Pokémon;NULL;NULL;9;220;Fire;Fighting;Blaze;NULL;78;52;78;52;81;405
392;Infernape;Flame Pokémon;NULL;NULL;12;550;Fire;Fighting;Blaze;NULL;104;71;104;71;108;534
393;Piplup;Penguin Pokémon;NULL;NULL;4;52;Water;NULL;Torrent;NULL;51;53;61;56;40;314
394;Prinplup;Penguin Pokémon;NULL;NULL;8;230;Water;NULL;Torrent;NULL;66;68;81;76;50;405
395;Empoleon;Emperor Pokémon;NULL;NULL;17;845;Water;Steel;Torrent;NULL;86;88;111;101;60;530
396;Starly;Starling Pokémon;NULL;NULL;3;20;Normal;Flying;Keen Eye;NULL;55;30;30;30;60;245
397;Staravia;Starling Pokémon;NULL;NULL;6;155;Normal;Flying;Intimidate;NULL;75;50;40;40;80;340
398;Staraptor;Predator Pokémon;NULL;NULL;12;249;Normal;Flying;Intimidate;NULL;120;70;50;60;100;485
399;Bidoof;Plump Mouse Pokémon;NULL;NULL;5;200;Normal;NULL;Simple;Unaware;45;40;35;40;31;250
400;Bibarel;Beaver Pokémon;NULL;NULL;10;315;Normal;Water;Simple;Unaware;85;60;55;60;71;410
401;Kricketot;Cricket Pokémon;NULL;NULL;3;22;Bug;NULL;Shed Skin;NULL;25;41;25;41;25;194
402;Kricketune;Cricket Pokémon;NULL;NULL;10;255;Bug;NULL;Swarm;NULL;85;51;55;51;65;384
403;Shinx;Flash Pokémon;NULL;NULL;5;95;Electric;NULL;Rivalry;Intimidate;65;34;40;34;45;263
404;Luxio;Spark Pokémon;NULL;NULL;9;305;Electric;NULL;Rivalry;Intimidate;85;49;60;49;60;363
405;Luxray;Gleam Eyes Pokémon;NULL;NULL;14;420;Electric;NULL;Rivalry;Intimidate;120;79;95;79;70;523
406;Budew;Bud Pokémon;NULL;NULL;2;12;Grass;Poison;Natural Cure;Poison Point;30;35;50;70;55;280
407;Roserade;Bouquet Pokémon;NULL;NULL;9;145;Grass;Poison;Natural Cure;Poison Point;70;65;125;105;90;515
408;Cranidos;Head Butt Pokémon;NULL;NULL;9;315;Rock;NULL;Mold Breaker;NULL;125;40;30;30;58;350
409;Rampardos;Head Butt Pokémon;NULL;NULL;16;1025;Rock;NULL;Mold Breaker;NULL;165;60;65;50;58;495
410;Shieldon;Shield Pokémon;NULL;NULL;5;570;Rock;Steel;Sturdy;NULL;42;118;42;88;30;350
411;Bastiodon;Shield Pokémon;NULL;NULL;13;1495;Rock;Steel;Sturdy;NULL;52;168;47;138;30;495
412;Burmy;Bagworm Pokémon;NULL;NULL;2;34;Bug;NULL;Shed Skin;NULL;29;45;29;45;36;224
412;Burmy;Bagworm Pokémon;Sandy;NULL;2;34;Bug;NULL;Shed Skin;NULL;29;45;29;45;36;224
412;Burmy;Bagworm Pokémon;Trash;NULL;2;34;Bug;NULL;Shed Skin;NULL;29;45;29;45;36;224
413;Wormadam;Bagworm Pokémon;Sandy;NULL;5;65;Bug;Ground;Anticipation;NULL;79;105;59;85;36;424
413;Wormadam;Bagworm Pokémon;Trash;NULL;5;65;Bug;Steel;Anticipation;NULL;69;95;69;95;36;424
413;Wormadam;Bagworm Pokémon;NULL;NULL;5;65;Bug;Grass;Anticipation;NULL;59;85;79;105;36;424
414;Mothim;Moth Pokémon;NULL;NULL;9;233;Bug;Flying;Swarm;NULL;94;50;94;50;66;424
415;Combee;Tiny Bee Pokémon;NULL;NULL;3;55;Bug;Flying;Honey Gather;NULL;30;42;30;42;70;244
416;Vespiquen;Beehive Pokémon;NULL;NULL;12;385;Bug;Flying;Pressure;NULL;80;102;80;102;40;474
417;Pachirisu;EleSquirrel Pokémon;NULL;NULL;4;39;Electric;NULL;Run Away;Pickup;45;70;45;90;95;405
418;Buizel;Sea Weasel Pokémon;NULL;NULL;7;295;Water;NULL;Swift Swim;NULL;65;35;60;30;85;330
419;Floatzel;Sea Weasel Pokémon;NULL;NULL;11;335;Water;NULL;Swift Swim;NULL;105;55;85;50;115;495
420;Cherubi;Cherry Pokémon;NULL;NULL;4;33;Grass;NULL;Chlorophyll;NULL;35;45;62;53;35;275
421;Cherrim;Blossom Pokémon;NULL;NULL;5;93;Grass;NULL;Flower Gift;NULL;60;70;87;78;85;450
422;Shellos;Sea Slug Pokémon;NULL;NULL;3;63;Water;NULL;Sticky Hold;Storm Drain;48;48;57;62;34;325
423;Gastrodon;Sea Slug Pokémon;NULL;NULL;9;299;Water;Ground;Sticky Hold;Storm Drain;83;68;92;82;39;475
424;Ambipom;Long Tail Pokémon;NULL;NULL;12;203;Normal;NULL;Technician;Pickup;100;66;60;66;115;482
425;Drifloon;Balloon Pokémon;NULL;NULL;4;12;Ghost;Flying;Aftermath;Unburden;50;34;60;44;70;348
426;Drifblim;Blimp Pokémon;NULL;NULL;12;150;Ghost;Flying;Aftermath;Unburden;80;44;90;54;80;498
427;Buneary;Rabbit Pokémon;NULL;NULL;4;55;Normal;NULL;Run Away;Klutz;66;44;44;56;85;350
428;Lopunny;Rabbit Pokémon;NULL;NULL;12;333;Normal;NULL;Cute Charm;Klutz;76;84;54;96;105;480
428;Lopunny;Rabbit Pokémon;Mega;NULL;13;283;Normal;Fighting;Scrappy;NULL;136;94;54;96;135;580
429;Mismagius;Magical Pokémon;NULL;NULL;9;44;Ghost;NULL;Levitate;NULL;60;60;105;105;105;495
430;Honchkrow;Big Boss Pokémon;NULL;NULL;9;273;Dark;Flying;Insomnia;Super Luck;125;52;105;52;71;505
431;Glameow;Catty Pokémon;NULL;NULL;5;39;Normal;NULL;Limber;Own Tempo;55;42;42;37;85;310
432;Purugly;Tiger Cat Pokémon;NULL;NULL;10;438;Normal;NULL;Thick Fat;Own Tempo;82;64;64;59;112;452
433;Chingling;Bell Pokémon;NULL;NULL;2;6;Psychic;NULL;Levitate;NULL;30;50;65;50;45;285
434;Stunky;Skunk Pokémon;NULL;NULL;4;192;Poison;Dark;Stench;Aftermath;63;47;41;41;74;329
435;Skuntank;Skunk Pokémon;NULL;NULL;10;380;Poison;Dark;Stench;Aftermath;93;67;71;61;84;479
436;Bronzor;Bronze Pokémon;NULL;NULL;5;605;Steel;Psychic;Levitate;Heatproof;24;86;24;86;23;300
437;Bronzong;Bronze Bell Pokémon;NULL;NULL;13;1870;Steel;Psychic;Levitate;Heatproof;89;116;79;116;33;500
438;Bonsly;Bonsai Pokémon;NULL;NULL;5;150;Rock;NULL;Sturdy;Rock Head;80;95;10;45;10;290
439;Mime Jr.;Mime Pokémon;NULL;NULL;6;130;Psychic;Fairy;Soundproof;Filter;25;45;70;90;60;310
440;Happiny;Playhouse Pokémon;NULL;NULL;6;244;Normal;NULL;Natural Cure;Serene Grace;5;5;15;65;30;220
441;Chatot;Music Note Pokémon;NULL;NULL;5;19;Normal;Flying;Keen Eye;Tangled Feet;65;45;92;42;91;411
442;Spiritomb;Forbidden Pokémon;NULL;NULL;10;1080;Ghost;Dark;Pressure;NULL;92;108;92;108;35;485
443;Gible;Land Shark Pokémon;NULL;NULL;7;205;Dragon;Ground;Sand Veil;NULL;70;45;40;45;42;300
444;Gabite;Cave Pokémon;NULL;NULL;14;560;Dragon;Ground;Sand Veil;NULL;90;65;50;55;82;410
445;Garchomp;Mach Pokémon;NULL;NULL;19;950;Dragon;Ground;Sand Veil;NULL;130;95;80;85;102;600
445;Garchomp;Mach Pokémon;Mega;NULL;19;950;Dragon;Ground;Sand Force;NULL;170;115;120;95;92;700
446;Munchlax;Big Eater Pokémon;NULL;NULL;6;1050;Normal;NULL;Pickup;Thick Fat;85;40;40;85;5;390
447;Riolu;Emanation Pokémon;NULL;NULL;7;202;Fighting;NULL;Steadfast;Inner Focus;70;40;35;40;60;285
448;Lucario;Aura Pokémon;NULL;NULL;12;540;Fighting;Steel;Steadfast;Inner Focus;110;70;115;70;90;525
448;Lucario;Aura Pokémon;Mega;NULL;13;575;Fighting;Steel;Adaptability;NULL;145;88;140;70;112;625
449;Hippopotas;Hippo Pokémon;NULL;NULL;8;495;Ground;NULL;Sand Stream;NULL;72;78;38;42;32;330
450;Hippowdon;Heavyweight Pokémon;NULL;NULL;20;3000;Ground;NULL;Sand Stream;NULL;112;118;68;72;47;525
451;Skorupi;Scorpion Pokémon;NULL;NULL;8;120;Poison;Bug;Battle Armor;Sniper;50;90;30;55;65;330
452;Drapion;Ogre Scorpion Pokémon;NULL;NULL;13;615;Poison;Dark;Battle Armor;Sniper;90;110;60;75;95;500
453;Croagunk;Toxic Mouth Pokémon;NULL;NULL;7;230;Poison;Fighting;Anticipation;Dry Skin;61;40;61;40;50;300
454;Toxicroak;Toxic Mouth Pokémon;NULL;NULL;13;444;Poison;Fighting;Anticipation;Dry Skin;106;65;86;65;85;490
455;Carnivine;Bug Catcher Pokémon;NULL;NULL;14;270;Grass;NULL;Levitate;NULL;100;72;90;72;46;454
456;Finneon;Wing Fish Pokémon;NULL;NULL;4;70;Water;NULL;Swift Swim;Storm Drain;49;56;49;61;66;330
457;Lumineon;Neon Pokémon;NULL;NULL;12;240;Water;NULL;Swift Swim;Storm Drain;69;76;69;86;91;460
458;Mantyke;Kite Pokémon;NULL;NULL;10;650;Water;Flying;Swift Swim;Water Absorb;20;50;60;120;50;345
459;Snover;Frost Tree Pokémon;NULL;NULL;10;505;Grass;Ice;Snow Warning;NULL;62;50;62;60;40;334
460;Abomasnow;Frost Tree Pokémon;NULL;NULL;22;1355;Grass;Ice;Snow Warning;NULL;92;75;92;85;60;494
460;Abomasnow;Frost Tree Pokémon;Mega;NULL;27;1850;Grass;Ice;Snow Warning;NULL;132;105;132;105;30;594
461;Weavile;Sharp Claw Pokémon;NULL;NULL;11;340;Dark;Ice;Pressure;NULL;120;65;45;85;125;510
462;Magnezone;Magnet Area Pokémon;NULL;NULL;12;1800;Electric;Steel;Magnet Pull;Sturdy;70;115;130;90;60;535
462;Magnezone;Magnet Area Pokémon;NULL;NULL;12;1800;Electric;Steel;Magnet Pull;Sturdy;70;115;130;90;60;535
463;Lickilicky;Licking Pokémon;NULL;NULL;17;1400;Normal;NULL;Own Tempo;Oblivious;85;95;80;95;50;515
464;Rhyperior;Drill Pokémon;NULL;NULL;24;2828;Ground;Rock;Lightning Rod;Solid Rock;140;130;55;55;40;535
465;Tangrowth;Vine Pokémon;NULL;NULL;20;1286;Grass;NULL;Chlorophyll;Leaf Guard;100;125;110;50;50;535
466;Electivire;Thunderbolt Pokémon;NULL;NULL;18;1386;Electric;NULL;Motor Drive;NULL;123;67;95;85;95;540
467;Magmortar;Blast Pokémon;NULL;NULL;16;680;Fire;NULL;Flame Body;NULL;95;67;125;95;83;540
468;Togekiss;Jubilee Pokémon;NULL;NULL;15;380;Fairy;Flying;Hustle;Serene Grace;50;95;120;115;80;545
469;Yanmega;Ogre Darner Pokémon;NULL;NULL;19;515;Bug;Flying;Speed Boost;Tinted Lens;76;86;116;56;95;515
470;Leafeon;Verdant Pokémon;NULL;NULL;10;255;Grass;NULL;Leaf Guard;NULL;110;130;60;65;95;525
470;Leafeon;Verdant Pokémon;NULL;NULL;10;255;Grass;NULL;Leaf Guard;NULL;110;130;60;65;95;525
471;Glaceon;Fresh Snow Pokémon;NULL;NULL;8;259;Ice;NULL;Snow Cloak;NULL;60;110;130;95;65;525
471;Glaceon;Fresh Snow Pokémon;NULL;NULL;8;259;Ice;NULL;Snow Cloak;NULL;60;110;130;95;65;525
472;Gliscor;Fang Scorpion Pokémon;NULL;NULL;20;425;Ground;Flying;Hyper Cutter;Sand Veil;95;125;45;75;95;510
473;Mamoswine;Twin Tusk Pokémon;NULL;NULL;25;2910;Ice;Ground;Oblivious;Snow Cloak;130;80;70;60;80;530
474;Porygon-Z;Virtual Pokémon;NULL;NULL;9;340;Normal;NULL;Adaptability;Download;80;70;135;75;90;535
475;Gallade;Blade Pokémon;NULL;NULL;16;520;Psychic;Fighting;Steadfast;Sharpness;125;65;65;115;80;518
475;Gallade;Blade Pokémon;Mega;NULL;16;564;Psychic;Fighting;Inner Focus;NULL;165;95;65;115;110;618
476;Probopass;Compass Pokémon;NULL;NULL;14;3400;Rock;Steel;Sturdy;Magnet Pull;55;145;75;150;40;525
476;Probopass;Compass Pokémon;NULL;NULL;14;3400;Rock;Steel;Sturdy;Magnet Pull;55;145;75;150;40;525
477;Dusknoir;Gripper Pokémon;NULL;NULL;22;1066;Ghost;NULL;Pressure;NULL;100;135;65;135;45;525
478;Froslass;Snow Land Pokémon;NULL;NULL;13;266;Ice;Ghost;Snow Cloak;NULL;80;70;80;70;110;480
479;Rotom;Plasma Pokémon;NULL;NULL;3;3;Electric;Ghost;Levitate;NULL;50;77;95;77;91;440
479;Rotom;Plasma Pokémon;Heat;NULL;3;3;Electric;Fire;Levitate;NULL;65;107;105;107;86;520
479;Rotom;Plasma Pokémon;Wash;NULL;3;3;Electric;Water;Levitate;NULL;65;107;105;107;86;520
479;Rotom;Plasma Pokémon;Frost;NULL;3;3;Electric;Ice;Levitate;NULL;65;107;105;107;86;520
479;Rotom;Plasma Pokémon;Fan;NULL;3;3;Electric;Flying;Levitate;NULL;65;107;105;107;86;520
479;Rotom;Plasma Pokémon;Mow;NULL;3;3;Electric;Grass;Levitate;NULL;65;107;105;107;86;520
480;Uxie;Knowledge Pokémon;NULL;"""Sub-Legendary""";3;3;Psychic;NULL;Levitate;NULL;75;130;75;130;95;580
481;Mesprit;Emotion Pokémon;NULL;"""Sub-Legendary""";3;3;Psychic;NULL;Levitate;NULL;105;105;105;105;80;580
482;Azelf;Willpower Pokémon;NULL;"""Sub-Legendary""";3;3;Psychic;NULL;Levitate;NULL;125;70;125;70;115;580
483;Dialga;Temporal Pokémon;NULL;"""Legendary""";54;6830;Steel;Dragon;Pressure;NULL;120;120;150;100;90;680
483;Dialga;Temporal Pokémon;Origin;NULL;70;8500;Steel;Dragon;Pressure;NULL;100;120;150;120;90;680
484;Palkia;Spatial Pokémon;Origin;NULL;63;6600;Water;Dragon;Pressure;NULL;100;100;150;120;120;680
484;Palkia;Spatial Pokémon;NULL;"""Legendary""";42;3360;Water;Dragon;Pressure;NULL;120;100;150;120;100;680
485;Heatran;Lava Dome Pokémon;NULL;"""Sub-Legendary""";17;4300;Fire;Steel;Flash Fire;NULL;90;106;130;106;77;600
486;Regigigas;Colossal Pokémon;NULL;"""Sub-Legendary""";37;4200;Normal;NULL;Slow Start;NULL;160;110;80;110;100;670
487;Giratina;Renegade Pokémon;NULL;"""Legendary""";45;7500;Ghost;Dragon;Pressure;NULL;100;120;100;120;90;680
487;Giratina;Renegade Pokémon;Origin;"""Legendary""";69;6500;Ghost;Dragon;Levitate;NULL;120;100;120;100;90;680
488;Cresselia;Lunar Pokémon;NULL;"""Sub-Legendary""";15;856;Psychic;NULL;Levitate;NULL;70;110;75;120;85;580
489;Phione;Sea Drifter Pokémon;NULL;"""Mythical""";4;31;Water;NULL;Hydration;NULL;80;80;80;80;80;480
490;Manaphy;Seafaring Pokémon;NULL;"""Mythical""";3;14;Water;NULL;Hydration;NULL;100;100;100;100;100;600
491;Darkrai;Pitch-Black Pokémon;NULL;"""Mythical""";15;505;Dark;NULL;Bad Dreams;NULL;90;90;135;90;125;600
492;Shaymin;Gratitude Pokémon;NULL;"""Mythical""";2;21;Grass;NULL;Natural Cure;NULL;100;100;100;100;100;600
492;Shaymin;Gratitude Pokémon;Sky;"""Mythical""";4;52;Grass;Flying;Serene Grace;NULL;103;75;120;75;127;600
493;Arceus;Alpha Pokémon;NULL;"""Mythical""";32;3200;Normal;NULL;Multitype;NULL;120;120;120;120;120;720
494;Victini;Victory Pokémon;NULL;"""Mythical""";4;40;Psychic;Fire;Victory Star;NULL;100;100;100;100;100;600
495;Snivy;Grass Snake Pokémon;NULL;NULL;6;81;Grass;NULL;Overgrow;NULL;45;55;45;55;63;308
496;Servine;Grass Snake Pokémon;NULL;NULL;8;160;Grass;NULL;Overgrow;NULL;60;75;60;75;83;413
497;Serperior;Regal Pokémon;NULL;NULL;33;630;Grass;NULL;Overgrow;NULL;75;95;75;95;113;528
498;Tepig;Fire Pig Pokémon;NULL;NULL;5;99;Fire;NULL;Blaze;NULL;63;45;45;45;45;308
499;Pignite;Fire Pig Pokémon;NULL;NULL;10;555;Fire;Fighting;Blaze;NULL;93;55;70;55;55;418
500;Emboar;Mega Fire Pig Pokémon;NULL;NULL;16;1500;Fire;Fighting;Blaze;NULL;123;65;100;65;65;528
501;Oshawott;Sea Otter Pokémon;NULL;NULL;5;59;Water;NULL;Torrent;NULL;55;45;63;45;45;308
502;Dewott;Discipline Pokémon;NULL;NULL;8;245;Water;NULL;Torrent;NULL;75;60;83;60;60;413
503;Samurott;Formidable Pokémon;NULL;NULL;15;946;Water;NULL;Torrent;NULL;100;85;108;70;70;528
503;Samurott;Formidable Pokémon;Hisui;NULL;15;582;Water;Dark;Torrent;NULL;108;80;100;65;85;528
504;Patrat;Scout Pokémon;NULL;NULL;5;116;Normal;NULL;Run Away;Keen Eye;55;39;35;39;42;255
505;Watchog;Lookout Pokémon;NULL;NULL;11;270;Normal;NULL;Illuminate;Keen Eye;85;69;60;69;77;420
506;Lillipup;Puppy Pokémon;NULL;NULL;4;41;Normal;NULL;Vital Spirit;Pickup;60;45;25;45;55;275
507;Herdier;Loyal Dog Pokémon;NULL;NULL;9;147;Normal;NULL;Intimidate;Sand Rush;80;65;35;65;60;370
508;Stoutland;Big-Hearted Pokémon;NULL;NULL;12;610;Normal;NULL;Intimidate;Sand Rush;110;90;45;90;80;500
509;Purrloin;Devious Pokémon;NULL;NULL;4;101;Dark;NULL;Limber;Unburden;50;37;50;37;66;281
510;Liepard;Cruel Pokémon;NULL;NULL;11;375;Dark;NULL;Limber;Unburden;88;50;88;50;106;446
511;Pansage;Grass Monkey Pokémon;NULL;NULL;6;105;Grass;NULL;Gluttony;NULL;53;48;53;48;64;316
512;Simisage;Thorn Monkey Pokémon;NULL;NULL;11;305;Grass;NULL;Gluttony;NULL;98;63;98;63;101;498
513;Pansear;High Temp Pokémon;NULL;NULL;6;110;Fire;NULL;Gluttony;NULL;53;48;53;48;64;316
514;Simisear;Ember Pokémon;NULL;NULL;10;280;Fire;NULL;Gluttony;NULL;98;63;98;63;101;498
515;Panpour;Spray Pokémon;NULL;NULL;6;135;Water;NULL;Gluttony;NULL;53;48;53;48;64;316
516;Simipour;Geyser Pokémon;NULL;NULL;10;290;Water;NULL;Gluttony;NULL;98;63;98;63;101;498
517;Munna;Dream Eater Pokémon;NULL;NULL;6;233;Psychic;NULL;Forewarn;Synchronize;25;45;67;55;24;292
518;Musharna;Drowsing Pokémon;NULL;NULL;11;605;Psychic;NULL;Forewarn;Synchronize;55;85;107;95;29;487
519;Pidove;Tiny Pigeon Pokémon;NULL;NULL;3;21;Normal;Flying;Big Pecks;Super Luck;55;50;36;30;43;264
520;Tranquill;Wild Pigeon Pokémon;NULL;NULL;6;150;Normal;Flying;Big Pecks;Super Luck;77;62;50;42;65;358
521;Unfezant;Proud Pokémon;NULL;NULL;12;290;Normal;Flying;Big Pecks;Super Luck;115;80;65;55;93;488
522;Blitzle;Electrified Pokémon;NULL;NULL;8;298;Electric;NULL;Lightning Rod;Motor Drive;60;32;50;32;76;295
523;Zebstrika;Thunderbolt Pokémon;NULL;NULL;16;795;Electric;NULL;Lightning Rod;Motor Drive;100;63;80;63;116;497
524;Roggenrola;Mantle Pokémon;NULL;NULL;4;180;Rock;NULL;Sturdy;Weak Armor;75;85;25;25;15;280
